feature_1,feature_2,feature_3,label
17509.884761903944,-0.6815066310012831,0.7507011363929191,5
233643.22834535345,-0.5848312979805055,0.6802639669614373,5
31602317.050435197,-0.3250117304340857,0.2998422101522082,4
2069.916381731482,-0.5331131664326858,0.1125043269618925,2
1653933725.4616768,0.2246067108455446,0.0232374491673329,3
5892562.21884566,-0.0298915412421007,-0.0572667210285687,0
1711188206.285701,0.4941808526471619,-0.1259019842807049,5
1967186166.9810607,0.3654239730987297,-0.0973088518192802,4
1126477.2081804508,0.0629868649865079,0.0365304360414799,0
428152090.66584986,0.1659758076974507,0.3177788574288079,4
20214492.9317098,-0.1828058677869082,-0.5705979899266522,5
1337019.6884357636,0.5296147620528878,-0.1790738928932067,4
286.5762302749973,-0.138984761776361,-0.0303551037456175,1
98113748.40361238,0.0789170132695076,-0.1877406138671047,2
25449717.54846496,-0.0292505152404032,-0.3123129458664363,3
43264145.466324136,0.4821949502101562,0.0025833198650479,4
3548.6472886070223,0.4460129842848008,0.7835883799337484,4
5401340.246587226,-0.0077757239899327,0.068491375471381,0
1156.319615450928,0.0548836701936286,-1.1522908486841217,4
186387671.92787075,0.0271553342051169,0.030428870879776,1
1691019446.511162,-0.0727938288904735,-0.2427594164046751,3
132650776.62671882,0.1517913996408846,-0.2263719234917741,3
10028696.423736138,0.4132927734101583,0.2434565359174406,4
103025.08124244164,0.3387085902437918,-0.1301195373825155,2
40540588.22978841,0.3601033180954733,-0.3295878683918303,4
12612198.359131197,0.2276120434393245,-0.4400587664006877,4
154.51638386066918,-0.6170387384726487,0.7644245309528126,3
913829.2283316228,-0.276944462227994,-0.0710993735586619,2
797841039.9364038,0.0737776946935744,-0.4446542535970154,5
323967.8573483592,-0.3947741177699693,-0.4978615564468411,4
5093.604075246227,0.9579705445966078,0.6668315330513013,5
246464754.26063448,0.0407207060656338,-0.0355907187738948,0
78628.14682622353,-0.7163990603553475,0.0496089890554206,4
362629.8680847767,0.6330574715585688,0.5096988138155748,5
2706682739.76166,-0.4174721235953698,0.1120416288313,5
308317751.87903726,0.3087903231476738,0.3831676067359358,5
6214951.749371469,-0.5142749493579613,-0.0531904795886883,4
5241.087757598848,1.066158021250327,-0.4893103539477781,5
1638540.988747367,0.0371333283340721,0.0582722320059541,0
135737.1715625847,0.2500572153575569,0.5850899967002381,4
565138383.0018694,0.0311525547761778,0.1906325738469849,2
274794.67099084123,0.1812577773395764,0.2476585594973709,2
334.2284953793758,-1.5219010791382896,0.4973621068145026,5
118226845.94408086,-0.0144799252949046,0.198177330645941,2
1698.4786723888717,-1.2834587114065852,-0.1565852648873771,5
2780852.699481146,0.1543257165101638,0.513845478231042,4
327189.10954584286,0.4500419887100611,-0.4428692883803788,4
84550641.33437358,0.0126537039612893,0.0394663068201019,1
342.45009659036134,1.49415663929588,-0.6996479082551229,5
353221159.6728202,-0.0831489530192173,0.3743435074595573,4
113450206.29874817,0.029786272504508,0.2014848724407303,2
1724.83485205658,0.0525010324967761,-0.1257695111336973,0
1364464.9964011332,-0.3626169253807472,-0.5959625788503004,5
303091.63118478697,-0.5867246961098348,0.4522834475459573,5
157.1127690396872,0.1498992372979929,-0.0425511628584283,1
1692328.6298138527,0.5630061968993112,-0.1414847614453509,4
2056.65336909324,-0.2800453769415518,-1.0338172785481248,4
111236905.04271556,0.4487347513381498,0.2245882517983008,5
3091352272.943354,0.010114231269875,-0.0352626536403923,1
41512.50515477983,0.037990374336373,-0.0577847811982561,1
1118.4365213691865,-0.1208735835166484,0.0702486877844024,0
